# MIM Number	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)
100640	216	ALDH1A1	ENSG00000165092,ENST00000297785
100660	218	ALDH3A1	ENSG00000108602,ENST00000225740
100670	219	ALDH1B1	ENSG00000137124,ENST00000377698
100678	39	ACAT2	ENSG00000120437,ENST00000367048
100690	1134	CHRNA1	ENSG00000138435,ENST00000348749
100710	1140	CHRNB1	ENSG00000170175,ENST00000306071
100720	1144	CHRND	ENSG00000135902,ENST00000258385
100725	1145	CHRNE	ENSG00000108556,ENST00000649488
100730	1146	CHRNG	ENSG00000196811,ENST00000651502
100740	43	ACHE	ENSG00000087085,ENST00000241069
100790	429	ASCL1	ENSG00000139352,ENST00000266744
100850	50	ACO2	ENSG00000100412,ENST00000216254
100880	48	ACO1	ENSG00000122729,ENST00000309951
102480	49	ACR	ENSG00000100312,ENST00000216139
102525	56	ACRV1	ENSG00000134940,ENST00000533904
102540	70	ACTC1	ENSG00000159251,ENST00000290378
102545	72	ACTG2	ENSG00000163017,ENST00000345517
102560	71	ACTG1	ENSG00000184009,ENST00000573283
102565	2318	FLNC	ENSG00000128591,ENST00000325888
102573	88	ACTN2	ENSG00000077522,ENST00000366578
102574	89	ACTN3	ENSG00000248746,ENST00000513398
102575	87	ACTN1	ENSG00000072110,ENST00000394419
102576	90	ACVR1	ENSG00000115170,ENST00000434821
102577	5984	RFC4	ENSG00000163918,ENST00000296273
102578	5371	PML	ENSG00000140464,ENST00000268058
102579	5981	RFC1	ENSG00000035928,ENST00000349703
102581	92	ACVR2A	ENSG00000121989,ENST00000241416
102582	6774	STAT3	ENSG00000168610,ENST00000264657
102593	313	AOAH	ENSG00000136250,ENST00000617537
102595	98	ACYP2	ENSG00000170634,ENST00000607452
102600	353	APRT	ENSG00000198931,ENST00000378364
102610	58	ACTA1	ENSG00000143632,ENST00000366684
102620	59	ACTA2	ENSG00000107796,ENST00000224784
102630	60	ACTB	ENSG00000075624,ENST00000646664
102642	6646	SOAT1	ENSG00000057252,ENST00000367619
102645	327	APEH	ENSG00000164062,ENST00000296456
102670	8174	MADCAM1	ENSG00000099866,ENST00000215637
102680	118	ADD1	ENSG00000087274,ENST00000683351
102681	119	ADD2	ENSG00000075340,ENST00000264436
102720	1803	DPP4	ENSG00000197635,ENST00000360534
102750	132	ADK	ENSG00000156110,ENST00000539909
102770	270	AMPD1	ENSG00000116748,ENST00000520113
102771	271	AMPD2	ENSG00000116337,ENST00000528667
102772	272	AMPD3	ENSG00000133805,ENST00000396553
102775	134	ADORA1	ENSG00000163485,ENST00000337894
102776	135	ADORA2A	ENSG00000128271,ENST00000337539
102910	506	ATP5F1B	ENSG00000110955,ENST00000262030
102980	116	ADCYAP1	ENSG00000141433,ENST00000450565
102981	117	ADCYAP1R1	ENSG00000078549,ENST00000304166
103000	203	AK1	ENSG00000106992,ENST00000644144
103020	204	AK2	ENSG00000004455,ENST00000672715
103030	205	AK4	ENSG00000162433,ENST00000327299
103060	159	ADSS2	ENSG00000035687,ENST00000366535
103070	114	ADCY8	ENSG00000155897,ENST00000286355
103071	108	ADCY2	ENSG00000078295,ENST00000338316
103072	107	ADCY1	ENSG00000164742,ENST00000297323
103180	375	ARF1	ENSG00000143761,ENST00000272102
103188	381	ARF5	ENSG00000004059,ENST00000000233
103190	377	ARF3	ENSG00000134287,ENST00000256682
103195	123	PLIN2	ENSG00000147872,ENST00000276914
103220	291	SLC25A4	ENSG00000151729,ENST00000281456
103260	2230	FDX1	ENSG00000137714,ENST00000260270
103270	2232	FDXR	ENSG00000161513,ENST00000293195
103275	133	ADM	ENSG00000148926,ENST00000278175
103280	283120	H19	ENSG00000130600
103320	375790	AGRN	ENSG00000188157,ENST00000379370
103390	79026	AHNAK	ENSG00000124942,ENST00000378024
103600	213	ALB	ENSG00000163631,ENST00000295897
103700	124	ADH1A	ENSG00000187758,ENST00000209668
103710	128	ADH5	ENSG00000197894,ENST00000296412
103720	125	ADH1B	ENSG00000196616,ENST00000305046
103730	126	ADH1C	ENSG00000248144,ENST00000515683
103735	130	ADH6	ENSG00000172955,ENST00000394899
103740	127	ADH4	ENSG00000198099,ENST00000265512
103830	10327	AKR1A1	ENSG00000117448,ENST00000351829
103850	226	ALDOA	ENSG00000149925,ENST00000642816
103870	230	ALDOC	ENSG00000109107,ENST00000226253
103880	231	AKR1B1	ENSG00000085662,ENST00000285930
103950	2	A2M	ENSG00000175899,ENST00000318602
104145	173	AFM	ENSG00000079557,ENST00000226355
104150	174	AFP	ENSG00000081051,ENST00000395792
104155	463	ZFHX3	ENSG00000140836,ENST00000268489
